Time(yr)	Coordinate	Uncertainty
2019.0014	2.03072	0.5
2019.0041	0.11335	0.5
2019.0068	3.07248	0.5
2019.0096	-1.06996	0.5
2019.0123	-3.71647	0.5
2019.0151	-0.13833	0.5
2019.0178	-0.16145	0.5
2019.0205	-2.3527	0.5
2019.0233	-0.06187	0.5
2019.0260	1.18304	0.5
2019.0288	-1.25983	0.5
2019.0315	-1.22582	0.5
2019.0342	1.14453	0.5
2019.0370	-1.29944	0.5
2019.0397	-3.01945	0.5
2019.0425	-0.4316	0.5
2019.0452	-1.07361	0.5
2019.0479	-0.76825	0.5
2019.0507	1.84779	0.5
2019.0534	4.16746	0.5
2019.0562	5.5009	0.5
2019.0589	0.01375	0.5
2019.0616	1.23508	0.5
2019.0644	0.10548	0.5
2019.0671	4.23024	0.5
2019.0699	-0.48617	0.5
2019.0726	1.25909	0.5
2019.0753	0.91924	0.5
2019.0781	3.92789	0.5
2019.0808	3.74044	0.5
2019.0836	3.16905	0.5
2019.0863	0.82588	0.5
2019.0890	2.95844	0.5
2019.0918	4.0036	0.5
2019.0945	3.72239	0.5
2019.0973	4.12599	0.5
2019.1000	2.43648	0.5
2019.1027	-0.52866	0.5
2019.1055	0.86694	0.5
2019.1082	-0.43627	0.5
2019.1110	-0.36023	0.5
2019.1137	0.34125	0.5
2019.1164	-2.56563	0.5
2019.1192	0.91681	0.5
2019.1219	-1.2029	0.5
2019.1247	-0.64569	0.5
2019.1274	-1.13996	0.5
2019.1301	1.58447	0.5
2019.1329	0.08314	0.5
2019.1356	0.22005	0.5
2019.1384	1.40639	0.5
2019.1411	-2.15664	0.5
2019.1438	2.12988	0.5
2019.1466	0.64659	0.5
2019.1493	2.20351	0.5
2019.1521	5.03599	0.5
2019.1548	3.64278	0.5
2019.1575	-0.04958	0.5
2019.1603	2.63541	0.5
2019.1630	1.26497	0.5
2019.1658	1.19482	0.5
2019.1685	3.453	0.5
2019.1712	3.29927	0.5
2019.1740	3.12141	0.5
2019.1767	2.65394	0.5
2019.1795	4.14922	0.5
2019.1822	3.01134	0.5
2019.1849	5.00975	0.5
2019.1877	1.26396	0.5
2019.1904	0.62354	0.5
2019.1931	-3.37582	0.5
2019.1959	1.89799	0.5
2019.1986	4.87072	0.5
2019.2014	2.69212	0.5
2019.2041	-0.93083	0.5
2019.2068	0.59452	0.5
2019.2096	4.09925	0.5
2019.2123	1.42087	0.5
2019.2151	2.11709	0.5
2019.2178	3.89371	0.5
2019.2205	4.44413	0.5
2019.2233	8.36774	0.5
2019.2260	5.82646	0.5
2019.2288	4.12728	0.5
2019.2315	4.99761	0.5
2019.2342	2.88975	0.5
2019.2370	2.21232	0.5
2019.2397	2.75124	0.5
2019.2425	3.22789	0.5
2019.2452	1.13346	0.5
2019.2479	1.65472	0.5
2019.2507	5.32686	0.5
2019.2534	2.50207	0.5
2019.2562	3.94577	0.5
2019.2589	0.75043	0.5
2019.2616	3.59634	0.5
2019.2644	3.58497	0.5
2019.2671	4.23337	0.5
2019.2699	3.66049	0.5
2019.2726	2.08904	0.5
2019.2753	-1.55983	0.5
2019.2781	3.00935	0.5
2019.2808	4.23423	0.5
2019.2836	1.86464	0.5
2019.2863	2.63482	0.5
2019.2890	1.93631	0.5
2019.2918	1.03731	0.5
2019.2945	3.41688	0.5
